Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
0,1.056,Yes,0.782,Yes,6,Yes,-14.10,-177.93,-2.23,2.14,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,6.7,810.9,True_Positive,
1,1.185,Yes,0.792,Yes,6,Yes,-13.51,-175.61,-2.65,2.16,0.00,NONE,Yes,No,0.97,face_yolo_mediapipe,16.7,59.9,True_Positive,
2,1.272,Yes,0.786,Yes,6,Yes,-9.67,-174.92,-2.08,2.16,0.00,NONE,Yes,No,1.10,face_yolo_mediapipe,26.8,40.0,True_Positive,
3,1.353,Yes,0.786,Yes,6,Yes,-12.84,-177.57,-2.60,2.09,0.00,NONE,Yes,No,1.19,face_yolo_mediapipe,33.3,40.4,True_Positive,
4,1.434,Yes,0.778,Yes,6,Yes,-7.79,-177.28,-1.48,2.11,0.00,NONE,Yes,No,1.27,face_yolo_mediapipe,34.2,41.9,True_Positive,
5,1.515,Yes,0.796,Yes,6,Yes,-8.95,-176.28,-0.96,2.18,0.00,NONE,Yes,No,1.35,face_yolo_mediapipe,28.5,36.0,True_Positive,
6,1.590,Yes,0.791,Yes,6,Yes,-12.77,-176.32,-0.96,2.22,0.00,NONE,Yes,No,1.43,face_yolo_mediapipe,33.5,35.3,True_Positive,
7,1.664,Yes,0.789,Yes,6,Yes,-15.46,-175.57,-1.10,2.24,0.00,NONE,Yes,No,1.50,face_yolo_mediapipe,36.0,35.8,True_Positive,
8,1.737,Yes,0.779,Yes,6,Yes,-13.00,-175.07,-0.82,2.24,0.00,NONE,Yes,No,1.58,face_yolo_mediapipe,36.6,35.6,True_Positive,
9,1.809,Yes,0.783,Yes,6,Yes,-11.61,-175.28,-0.64,2.22,0.00,NONE,Yes,No,1.65,face_yolo_mediapipe,36.6,34.7,True_Positive,
10,1.880,Yes,0.771,Yes,6,Yes,-13.85,-176.79,-1.00,2.22,0.00,NONE,Yes,No,1.72,face_yolo_mediapipe,36.3,33.9,True_Positive,
11,1.954,Yes,0.734,Yes,6,Yes,-13.24,-178.07,-0.78,2.24,0.00,NONE,Yes,No,1.80,face_yolo_mediapipe,35.2,34.9,True_Positive,
12,2.026,Yes,0.642,Yes,6,Yes,-15.16,-176.91,-1.14,2.24,0.00,NONE,Yes,No,1.87,face_yolo_mediapipe,35.6,34.5,True_Positive,
13,2.098,Yes,0.564,Yes,6,Yes,-14.79,-177.60,-0.77,2.22,0.00,NONE,Yes,No,1.94,face_yolo_mediapipe,36.3,34.4,True_Positive,
14,2.169,Yes,0.633,Yes,6,Yes,-16.01,-177.73,-0.90,2.24,0.00,NONE,Yes,No,2.01,face_yolo_mediapipe,36.3,34.1,True_Positive,
15,2.242,Yes,0.708,Yes,6,Yes,-17.45,-176.51,-0.73,2.22,0.00,NONE,Yes,No,2.08,face_yolo_mediapipe,36.0,34.9,True_Positive,
16,2.316,Yes,0.749,Yes,6,Yes,-18.61,-177.84,-0.89,2.24,0.00,NONE,Yes,No,2.16,face_yolo_mediapipe,35.6,34.5,True_Positive,
17,2.390,Yes,0.723,Yes,6,Yes,-18.24,-177.58,-0.73,2.22,0.00,NONE,Yes,No,2.23,face_yolo_mediapipe,35.2,36.0,True_Positive,
18,2.457,Yes,0.670,Yes,6,Yes,-16.84,-177.78,-0.71,2.22,0.00,NONE,Yes,No,2.31,face_yolo_mediapipe,48.9,35.6,False_Negative,
19,2.533,Yes,0.624,Yes,6,Yes,-20.68,-176.83,-0.68,2.20,0.00,NONE,No,No,0.00,face_yolo_mediapipe,33.9,36.7,True_Positive,
20,2.607,Yes,0.648,Yes,6,Yes,-23.70,-177.61,-1.33,2.26,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.7,35.7,True_Positive,
21,2.681,Yes,0.706,Yes,6,Yes,-21.03,-176.10,-0.57,2.24,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.8,34.9,True_Positive,
22,2.755,Yes,0.725,Yes,6,Yes,-21.20,-175.38,-1.79,2.26,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.0,35.2,True_Positive,
23,2.829,Yes,0.714,Yes,6,Yes,-21.78,-176.24,-2.31,2.24,0.00,NONE,No,No,0.00,face_yolo_mediapipe,33.9,35.2,True_Positive,
24,2.904,Yes,0.713,Yes,6,Yes,-23.70,-176.85,-2.95,2.26,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.9,35.6,True_Positive,
25,2.977,Yes,0.756,Yes,6,Yes,-20.13,-177.98,-3.16,2.24,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.9,35.2,True_Positive,
26,3.050,Yes,0.767,Yes,6,Yes,-19.28,-178.59,-3.10,2.22,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,35.3,35.5,True_Positive,
27,3.125,Yes,0.751,Yes,6,Yes,-23.01,-176.33,-3.53,2.26,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.4,35.7,True_Positive,
28,3.201,Yes,0.746,Yes,6,Yes,-19.46,-177.27,-3.16,2.29,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,34.1,35.0,True_Positive,
29,3.274,Yes,0.759,Yes,6,Yes,-17.90,-178.39,-1.89,2.26,0.00,NONE,Yes,No,0.07,face_yolo_mediapipe,35.0,34.7,True_Positive,
30,3.348,Yes,0.774,Yes,6,Yes,-16.30,-177.68,-1.55,2.26,0.00,NONE,Yes,No,0.15,face_yolo_mediapipe,35.5,36.3,True_Positive,
