Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
0,3.282,Yes,0.836,Yes,6,Yes,8.92,-129.26,6.15,0.35,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,3.9,2708.4,True_Positive,
1,3.551,Yes,0.842,Yes,6,Yes,0.60,167.90,-179.19,0.35,0.00,NONE,Yes,Yes,3.01,face_yolo_mediapipe,6.1,53.4,True_Positive,
2,3.750,Yes,0.822,Yes,6,Yes,1.62,167.22,-179.47,0.35,0.00,NONE,Yes,Yes,3.28,face_yolo_mediapipe,8.5,38.0,True_Positive,
3,3.951,Yes,0.828,Yes,6,Yes,9.24,-129.12,6.55,0.35,0.00,NONE,Yes,Yes,3.47,face_yolo_mediapipe,8.2,36.8,True_Positive,
4,4.147,Yes,0.815,Yes,6,Yes,8.66,-128.91,6.46,0.35,0.00,NONE,Yes,Yes,3.67,face_yolo_mediapipe,8.5,36.4,True_Positive,
5,4.329,Yes,0.817,Yes,6,Yes,1.82,165.29,-179.97,0.35,0.00,NONE,Yes,Yes,3.87,face_yolo_mediapipe,9.5,36.1,True_Positive,
6,4.512,Yes,0.821,Yes,6,Yes,11.10,-128.82,8.36,0.35,0.00,NONE,Yes,Yes,4.05,face_yolo_mediapipe,9.4,35.2,True_Positive,
7,4.697,Yes,0.840,Yes,6,Yes,8.51,-129.73,6.58,0.36,0.00,NONE,Yes,Yes,4.23,face_yolo_mediapipe,9.4,37.1,True_Positive,
8,4.887,Yes,0.820,Yes,6,Yes,8.93,-128.98,7.00,0.36,0.00,NONE,Yes,Yes,4.42,face_yolo_mediapipe,8.9,36.5,True_Positive,
9,5.073,Yes,0.830,Yes,6,Yes,9.04,-129.38,7.43,0.36,0.00,NONE,Yes,Yes,4.61,face_yolo_mediapipe,9.4,36.1,True_Positive,
10,5.258,Yes,0.782,Yes,6,Yes,6.34,-128.91,5.25,0.37,0.00,NONE,Yes,Yes,4.80,face_yolo_mediapipe,9.3,36.3,True_Positive,
11,5.444,Yes,0.785,Yes,6,Yes,3.36,-127.55,2.63,0.36,0.00,NONE,Yes,Yes,4.98,face_yolo_mediapipe,9.1,35.5,True_Positive,
12,5.622,Yes,0.759,Yes,6,Yes,7.58,-125.96,4.93,0.38,0.00,NONE,Yes,Yes,5.17,face_yolo_mediapipe,10.0,36.6,True_Positive,
