Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
0,1.737,Yes,0.747,Yes,6,Yes,-8.36,177.73,-2.93,5.74,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,4.5,996.9,True_Positive,
1,1.955,Yes,0.741,Yes,6,Yes,3.09,179.74,-1.91,5.74,0.00,NONE,Yes,No,1.27,face_yolo_mediapipe,7.6,41.4,True_Positive,
2,2.146,Yes,0.747,Yes,6,Yes,-8.79,-177.13,-1.51,6.00,0.00,NONE,Yes,No,1.48,face_yolo_mediapipe,9.4,41.9,True_Positive,
3,2.332,Yes,0.762,Yes,6,Yes,-7.95,178.18,-2.69,5.87,0.00,NONE,Yes,No,1.67,face_yolo_mediapipe,9.3,36.2,True_Positive,
4,2.507,Yes,0.765,Yes,6,Yes,-6.96,179.16,-1.09,5.62,0.00,NONE,Yes,No,1.86,face_yolo_mediapipe,10.3,36.4,True_Positive,
5,2.682,Yes,0.756,Yes,6,Yes,-3.33,178.11,-2.45,5.74,0.00,NONE,Yes,No,2.03,face_yolo_mediapipe,10.3,36.4,True_Positive,
6,2.856,Yes,0.762,Yes,6,Yes,5.73,-175.81,-1.87,5.87,0.00,NONE,Yes,No,2.21,face_yolo_mediapipe,10.5,36.1,True_Positive,
7,3.030,Yes,0.757,Yes,6,Yes,8.94,-174.01,1.10,5.74,0.00,NONE,Yes,No,2.38,face_yolo_mediapipe,10.3,34.7,True_Positive,
8,3.202,Yes,0.759,Yes,6,Yes,0.84,175.90,-3.04,5.74,0.00,NONE,Yes,No,2.56,face_yolo_mediapipe,10.4,34.5,True_Positive,
9,3.377,Yes,0.754,Yes,6,Yes,13.80,-179.48,1.76,6.00,0.00,NONE,Yes,No,2.73,face_yolo_mediapipe,10.1,33.9,True_Positive,
10,3.550,Yes,0.773,Yes,6,Yes,8.67,-174.76,-0.42,5.87,0.00,NONE,Yes,No,2.90,face_yolo_mediapipe,10.5,35.9,True_Positive,
11,3.725,Yes,0.772,Yes,6,Yes,4.35,-177.63,1.14,5.87,0.00,NONE,Yes,Yes,3.08,face_yolo_mediapipe,10.3,35.6,True_Positive,
12,3.892,Yes,0.758,Yes,6,Yes,6.83,-178.97,-0.76,5.62,0.00,NONE,Yes,Yes,3.25,face_yolo_mediapipe,11.1,35.7,True_Positive,
