Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
0,1.124,Yes,0.324,Yes,6,Yes,24.99,129.79,179.90,3.38,0.00,NONE,No,No,0.00,person_box_geometric,7.0,880.0,True_Positive,
1,1.297,Yes,0.309,Yes,6,Yes,24.95,141.63,179.75,3.07,0.00,NONE,No,No,0.00,person_box_geometric,18.2,106.2,True_Positive,
2,1.436,Yes,0.330,Yes,6,Yes,25.13,151.91,179.47,2.70,0.00,NONE,No,No,0.00,person_box_geometric,27.6,91.4,True_Positive,
3,1.564,No,0.000,No,0,No,0.00,0.00,0.00,0.00,0.00,NONE,No,No,0.00,none,31.3,84.1,True_Negative,
4,1.698,Yes,0.596,Yes,6,Yes,-36.19,-175.34,179.09,2.18,0.00,NONE,No,No,0.00,person_box_geometric,26.2,84.8,True_Positive,
5,1.826,Yes,0.745,Yes,6,Yes,-35.40,-175.55,179.20,2.05,0.00,NONE,No,No,0.00,person_box_geometric,31.3,85.1,True_Positive,
6,1.955,Yes,0.785,Yes,6,Yes,-31.54,-175.50,179.21,1.82,0.00,NONE,No,No,0.00,person_box_geometric,32.2,85.5,True_Positive,
7,2.084,Yes,0.830,Yes,6,Yes,-30.65,-176.52,179.99,1.69,0.00,NONE,No,No,0.00,person_box_geometric,33.0,87.7,True_Positive,
8,2.212,Yes,0.856,Yes,6,Yes,-28.33,-176.66,-179.95,1.57,0.00,NONE,No,No,0.00,person_box_geometric,33.0,85.4,True_Positive,
9,2.332,Yes,0.873,Yes,6,Yes,-26.60,-176.71,-179.97,1.47,0.00,NONE,No,No,0.00,person_box_geometric,44.9,85.9,False_Positive,
10,2.460,Yes,0.827,Yes,6,Yes,-27.70,-178.07,-178.95,1.38,0.00,NONE,No,No,0.00,person_box_geometric,32.3,85.3,True_Positive,
11,2.578,Yes,0.873,Yes,6,Yes,-29.72,-179.90,-177.62,1.31,0.00,NONE,No,No,0.00,person_box_geometric,52.8,87.5,False_Positive,
12,2.707,Yes,0.882,Yes,6,Yes,-27.57,179.60,-177.36,1.24,0.00,NONE,No,No,0.00,person_box_geometric,32.4,86.5,True_Positive,
13,2.825,Yes,0.894,Yes,6,Yes,-24.08,179.49,-177.42,1.16,0.00,NONE,No,No,0.00,person_box_geometric,52.3,87.3,False_Positive,
14,2.953,Yes,0.880,Yes,6,Yes,-21.73,179.34,-177.59,1.12,0.00,NONE,No,No,0.00,person_box_geometric,32.8,86.6,True_Positive,
15,3.083,Yes,0.906,Yes,6,Yes,-18.60,179.27,-177.79,1.06,0.00,NONE,Yes,No,0.00,person_box_geometric,32.9,87.5,True_Positive,
16,3.202,Yes,0.895,Yes,6,Yes,-15.79,179.52,-177.97,1.02,0.00,NONE,Yes,No,0.13,person_box_geometric,52.5,89.0,False_Positive,
17,3.332,Yes,0.894,Yes,6,Yes,-9.94,179.39,-178.34,0.98,0.00,NONE,Yes,No,0.25,person_box_geometric,32.9,86.8,True_Positive,
18,3.451,Yes,0.896,Yes,6,Yes,-6.62,179.10,-178.47,0.95,0.00,NONE,Yes,No,0.38,person_box_geometric,47.9,87.3,False_Positive,
19,3.582,Yes,0.922,Yes,6,Yes,0.32,178.53,-178.88,0.91,0.00,NONE,Yes,No,0.50,person_box_geometric,31.8,88.2,True_Positive,
20,3.701,Yes,0.922,Yes,6,Yes,28.04,174.79,178.92,0.85,0.00,NONE,No,No,0.00,person_box_geometric,50.5,87.8,False_Positive,
21,3.834,Yes,0.916,Yes,6,Yes,24.28,174.48,179.35,0.83,0.00,NONE,No,No,0.00,person_box_geometric,32.2,90.0,True_Positive,
22,3.953,Yes,0.925,Yes,6,Yes,21.52,173.77,179.56,0.81,0.00,NONE,No,No,0.00,person_box_geometric,45.9,85.3,False_Positive,
23,4.087,Yes,0.923,Yes,6,Yes,20.99,173.70,179.61,0.82,0.00,NONE,No,No,0.00,person_box_geometric,31.7,91.3,True_Positive,
24,4.214,Yes,0.899,Yes,6,Yes,19.59,174.43,179.67,0.85,0.00,NONE,Yes,No,0.00,person_box_geometric,32.9,86.0,True_Positive,
25,4.343,Yes,0.903,Yes,6,Yes,19.67,174.97,179.75,0.87,0.00,NONE,Yes,No,0.13,person_box_geometric,32.1,85.9,True_Positive,
26,4.471,Yes,0.902,Yes,6,Yes,17.50,175.27,179.79,0.87,0.00,NONE,Yes,No,0.26,person_box_geometric,32.3,85.6,True_Positive,
27,4.601,Yes,0.897,Yes,6,Yes,16.92,173.71,179.82,0.87,0.00,NONE,Yes,No,0.38,person_box_geometric,31.3,86.9,True_Positive,
28,4.732,Yes,0.894,Yes,6,Yes,16.95,173.32,179.65,0.90,0.00,NONE,Yes,No,0.51,person_box_geometric,32.0,88.0,True_Positive,
