Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
0,1.497,Yes,0.562,Yes,6,Yes,2.44,-159.37,-1.17,14.55,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,4.7,1021.9,True_Positive,
1,1.702,Yes,0.466,Yes,6,Yes,-2.53,-164.34,-1.68,15.00,0.00,NONE,Yes,No,1.28,face_yolo_mediapipe,8.0,41.6,True_Positive,
2,1.873,Yes,0.452,Yes,6,Yes,5.29,-161.54,-0.17,15.00,0.00,NONE,Yes,No,1.48,face_yolo_mediapipe,11.3,43.7,True_Positive,
3,2.043,Yes,0.506,Yes,6,Yes,8.23,-167.73,0.29,15.00,0.00,NONE,Yes,No,1.65,face_yolo_mediapipe,10.4,36.2,True_Positive,
4,2.196,Yes,0.539,Yes,6,Yes,-2.46,-171.97,179.26,15.00,0.00,NONE,Yes,No,1.82,face_yolo_mediapipe,12.9,36.6,True_Positive,
5,2.342,Yes,0.527,Yes,6,Yes,8.00,-168.98,-0.22,15.00,0.00,NONE,Yes,No,1.97,face_yolo_mediapipe,13.5,34.9,True_Positive,
6,2.489,Yes,0.568,Yes,6,Yes,12.11,-170.04,-0.77,14.55,0.00,NONE,Yes,No,2.12,face_yolo_mediapipe,13.4,34.8,True_Positive,
7,2.637,Yes,0.533,Yes,6,Yes,9.19,-167.37,-0.34,15.00,0.00,NONE,Yes,No,2.27,face_yolo_mediapipe,13.2,34.8,True_Positive,
8,2.786,Yes,0.567,Yes,6,Yes,16.59,-162.31,1.35,15.00,0.00,NONE,Yes,No,2.42,face_yolo_mediapipe,13.1,34.3,True_Positive,
9,2.934,Yes,0.588,Yes,6,Yes,15.71,-163.02,0.41,15.48,0.00,NONE,Yes,No,2.56,face_yolo_mediapipe,13.3,35.4,True_Positive,
10,3.080,Yes,0.612,Yes,6,Yes,6.08,-160.45,-1.77,15.00,0.00,NONE,Yes,No,2.71,face_yolo_mediapipe,13.4,33.8,True_Positive,
11,3.225,Yes,0.638,Yes,6,Yes,13.07,-160.77,0.17,15.48,0.00,NONE,Yes,No,2.86,face_yolo_mediapipe,13.3,33.0,True_Positive,
12,3.374,Yes,0.586,Yes,6,Yes,9.74,-160.43,-0.64,15.00,0.00,NONE,Yes,Yes,3.00,face_yolo_mediapipe,12.6,33.0,True_Positive,
13,3.519,Yes,0.583,Yes,6,Yes,10.79,-159.96,-1.11,15.00,0.00,NONE,Yes,Yes,3.15,face_yolo_mediapipe,13.4,33.4,True_Positive,
14,3.665,Yes,0.575,Yes,6,Yes,8.25,-163.62,-3.55,15.00,0.00,NONE,Yes,Yes,3.30,face_yolo_mediapipe,13.6,35.2,True_Positive,
15,3.813,Yes,0.601,Yes,6,Yes,11.44,-159.04,-1.96,15.00,0.00,NONE,Yes,Yes,3.44,face_yolo_mediapipe,13.2,34.6,True_Positive,
16,3.961,Yes,0.606,Yes,6,Yes,13.36,-161.92,-1.69,14.55,0.00,NONE,Yes,Yes,3.59,face_yolo_mediapipe,13.3,35.1,True_Positive,
17,4.106,Yes,0.632,Yes,6,Yes,9.24,-161.29,-1.31,15.00,0.00,NONE,Yes,Yes,3.74,face_yolo_mediapipe,13.4,34.4,True_Positive,
18,4.253,Yes,0.658,Yes,6,Yes,11.85,-164.48,-1.36,15.48,0.00,NONE,Yes,Yes,3.88,face_yolo_mediapipe,13.5,34.5,True_Positive,
19,4.406,Yes,0.668,Yes,6,Yes,8.30,-162.04,-2.46,15.00,0.00,NONE,Yes,Yes,4.03,face_yolo_mediapipe,12.7,36.8,True_Positive,
20,4.554,Yes,0.647,Yes,6,Yes,8.91,-161.45,177.39,15.00,0.00,NONE,Yes,Yes,4.18,face_yolo_mediapipe,13.2,34.9,True_Positive,
21,4.702,Yes,0.627,Yes,6,Yes,20.66,-164.77,-1.36,15.48,0.00,NONE,No,No,0.00,face_yolo_mediapipe,13.1,34.6,True_Positive,
22,4.849,Yes,0.623,Yes,6,Yes,11.28,-164.96,-3.53,15.48,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,13.3,34.5,True_Positive,
23,4.996,Yes,0.636,Yes,6,Yes,13.76,-165.93,-3.11,15.00,0.00,NONE,Yes,No,0.15,face_yolo_mediapipe,13.2,34.5,True_Positive,
24,5.148,Yes,0.629,Yes,6,Yes,13.71,-168.88,177.12,15.00,0.00,NONE,Yes,No,0.29,face_yolo_mediapipe,12.5,35.0,True_Positive,
25,5.288,Yes,0.667,Yes,6,Yes,-2.80,-179.36,176.03,14.55,0.00,NONE,Yes,No,0.45,face_yolo_mediapipe,14.7,34.7,False_Negative,
26,5.435,Yes,0.663,Yes,6,Yes,8.01,-171.61,-4.71,14.55,0.00,NONE,Yes,No,0.59,face_yolo_mediapipe,13.4,35.0,True_Positive,
27,5.584,Yes,0.674,Yes,6,Yes,7.92,-172.21,-2.96,14.55,0.00,NONE,Yes,No,0.73,face_yolo_mediapipe,13.1,35.8,True_Positive,
28,5.731,Yes,0.652,Yes,6,Yes,9.92,-172.43,-3.70,14.55,0.00,NONE,Yes,No,0.88,face_yolo_mediapipe,13.2,34.8,True_Positive,
29,5.878,Yes,0.629,Yes,6,Yes,-4.62,-175.41,-2.89,14.55,0.00,NONE,Yes,No,1.03,face_yolo_mediapipe,13.4,34.9,True_Positive,
30,6.027,Yes,0.486,Yes,6,Yes,15.08,-175.70,-2.41,15.00,0.00,NONE,Yes,No,1.18,face_yolo_mediapipe,13.2,35.4,True_Positive,
31,6.177,Yes,0.527,Yes,6,Yes,8.43,-172.36,177.81,14.55,0.00,NONE,Yes,No,1.33,face_yolo_mediapipe,12.9,34.8,True_Positive,
32,6.323,Yes,0.599,Yes,6,Yes,-0.70,-176.51,-1.91,14.55,0.00,NONE,Yes,No,1.48,face_yolo_mediapipe,13.4,34.5,True_Positive,
33,6.470,Yes,0.645,Yes,6,Yes,9.34,-176.55,-2.94,15.00,0.00,NONE,Yes,No,1.62,face_yolo_mediapipe,13.2,34.4,True_Positive,
34,6.618,Yes,0.656,Yes,6,Yes,14.31,-176.51,-2.68,15.48,0.00,NONE,Yes,No,1.77,face_yolo_mediapipe,13.2,35.5,True_Positive,
35,6.768,Yes,0.667,Yes,6,Yes,3.15,-179.40,176.31,14.55,0.00,NONE,Yes,No,1.92,face_yolo_mediapipe,13.2,36.3,True_Positive,
36,6.920,Yes,0.679,Yes,6,Yes,-5.15,-178.34,-3.16,14.55,0.00,NONE,Yes,No,2.07,face_yolo_mediapipe,12.5,34.6,True_Positive,
37,7.064,Yes,0.699,Yes,6,Yes,-15.74,-177.90,-3.90,15.00,0.00,NONE,Yes,No,2.22,face_yolo_mediapipe,13.5,33.3,True_Positive,
38,7.209,Yes,0.706,Yes,6,Yes,-4.96,-175.30,-2.90,14.55,0.00,NONE,Yes,No,2.36,face_yolo_mediapipe,13.6,34.4,True_Positive,
39,7.356,Yes,0.692,Yes,6,Yes,-11.58,-179.09,-2.42,14.12,0.00,NONE,Yes,No,2.51,face_yolo_mediapipe,13.3,35.6,True_Positive,
40,7.503,Yes,0.688,Yes,6,Yes,-6.94,-178.92,-3.74,14.55,0.00,NONE,Yes,No,2.65,face_yolo_mediapipe,13.3,34.8,True_Positive,
41,7.648,Yes,0.678,Yes,6,Yes,-13.21,-179.53,-3.39,14.55,0.00,NONE,Yes,No,2.80,face_yolo_mediapipe,13.5,35.1,True_Positive,
42,7.797,Yes,0.681,Yes,6,Yes,-3.58,-179.92,177.84,14.55,0.00,NONE,Yes,No,2.95,face_yolo_mediapipe,13.3,35.6,True_Positive,
43,7.945,Yes,0.686,Yes,6,Yes,-9.41,-175.67,-2.70,14.55,0.00,NONE,Yes,Yes,3.10,face_yolo_mediapipe,13.2,34.8,True_Positive,
44,8.084,Yes,0.673,Yes,6,Yes,-9.78,-179.90,-2.37,14.55,0.00,NONE,Yes,Yes,3.24,face_yolo_mediapipe,15.0,34.3,False_Positive,
45,8.230,Yes,0.672,Yes,6,Yes,-9.66,-179.82,176.96,14.55,0.00,NONE,Yes,Yes,3.38,face_yolo_mediapipe,13.4,34.8,True_Positive,
46,8.378,Yes,0.674,Yes,6,Yes,-11.26,-175.78,-1.77,14.12,0.00,NONE,Yes,Yes,3.53,face_yolo_mediapipe,13.3,35.0,True_Positive,
47,8.528,Yes,0.682,Yes,6,Yes,4.78,-178.27,177.95,14.55,0.00,NONE,Yes,Yes,3.68,face_yolo_mediapipe,12.8,35.0,True_Positive,
48,8.682,Yes,0.685,Yes,6,Yes,-4.83,-174.02,-1.05,14.12,0.00,NONE,Yes,Yes,3.83,face_yolo_mediapipe,12.3,35.0,True_Positive,
49,8.827,Yes,0.687,Yes,6,Yes,-2.39,-173.88,-1.84,14.12,0.00,NONE,Yes,Yes,3.98,face_yolo_mediapipe,13.8,35.4,True_Positive,
50,8.973,Yes,0.677,Yes,6,Yes,-8.76,177.67,179.05,14.12,0.00,NONE,Yes,Yes,4.13,face_yolo_mediapipe,13.6,34.7,True_Positive,
51,9.121,Yes,0.680,Yes,6,Yes,-2.18,-176.64,179.09,14.12,0.00,NONE,Yes,Yes,4.27,face_yolo_mediapipe,13.2,34.7,True_Positive,
52,9.267,Yes,0.673,Yes,6,Yes,-5.31,-173.75,-0.57,14.12,0.00,NONE,Yes,Yes,4.42,face_yolo_mediapipe,13.5,34.7,True_Positive,
53,9.415,Yes,0.666,Yes,6,Yes,4.51,-174.64,179.78,14.55,0.00,NONE,Yes,Yes,4.57,face_yolo_mediapipe,13.3,35.4,True_Positive,
54,9.563,Yes,0.677,Yes,6,Yes,-3.24,-174.63,0.29,13.71,0.00,NONE,Yes,Yes,4.71,face_yolo_mediapipe,13.2,34.4,True_Positive,
55,9.762,Yes,0.672,Yes,6,Yes,-0.84,-175.92,179.41,13.71,0.00,NONE,Yes,Yes,4.86,face_yolo_mediapipe,13.4,87.5,True_Positive,
56,9.908,Yes,0.655,Yes,6,Yes,-3.29,-173.34,-0.67,13.71,0.00,NONE,Yes,Yes,5.06,face_yolo_mediapipe,13.2,33.1,True_Positive,
